time	V(vout)*Ix(M2:D)+V(p_gate)*Ix(M2:G)+V(N001)*Ix(M2:S)
6.063763621327735e-004	1.232982e+000
6.480099083332929e-004	1.232977e+000
7.312770007343316e-004	1.232971e+000
8.289332507343315e-004	1.232977e+000
1.038196643591475e-003	1.232975e+000
1.247460036448618e-003	1.232973e+000
1.456723429305761e-003	1.232972e+000
1.665986822162904e-003	1.232971e+000
1.875250215020047e-003	1.232971e+000
2.084513607877190e-003	1.232971e+000
2.293777000734333e-003	1.232971e+000
2.456358002937328e-003	1.232971e+000
2.500000000000001e-003	1.232982e+000
2.504364199706268e-003	1.232971e+000
2.513092599118803e-003	1.232966e+000
1.376810269089425e-002	1.232966e+000
4.306497769089463e-002	1.232966e+000
7.236185269089435e-002	1.232966e+000
7.740234375000001e-002	1.232966e+000
7.750000000000000e-002	1.232966e+000
7.750976562500000e-002	1.232966e+000
7.752929687500000e-002	1.232966e+000
7.775530133928570e-002	1.232966e+000
7.798130580357141e-002	1.232966e+000
7.820731026785710e-002	1.232966e+000
7.843331473214281e-002	1.232966e+000
7.865931919642850e-002	1.232966e+000
7.888532366071421e-002	1.232966e+000
7.911132812499991e-002	1.232966e+000
7.920898437499990e-002	1.232971e+000
7.930664062499990e-002	1.232971e+000
7.940429687499989e-002	1.232992e+000
7.943628331468068e-002	1.239078e+000
7.944923734819802e-002	1.262148e+000
7.945404582929047e-002	1.295396e+000
7.945528154085248e-002	1.315402e+000
7.945609946519734e-002	1.333995e+000
7.945689682075023e-002	1.353670e+000
7.945815732793045e-002	1.387336e+000
7.945967080887452e-002	1.432156e+000
7.946161985930271e-002	1.499789e+000
7.946484890283895e-002	1.639360e+000
7.946832789919130e-002	1.859881e+000
7.947395489226823e-002	2.445701e+000
7.947806029391706e-002	3.234481e+000
7.948104484972902e-002	4.395806e+000
7.948358660447183e-002	6.141594e+000
7.948630599533225e-002	8.492461e+000
7.948864714590842e-002	1.041971e+001
7.949125106978718e-002	1.225699e+001
7.949645891754467e-002	1.502730e+001
7.949790001252091e-002	1.558901e+001
7.949839493526550e-002	1.576585e+001
7.949871610315905e-002	1.587994e+001
7.949886081136662e-002	1.593180e+001
7.949900281955934e-002	1.598305e+001
7.949911215204193e-002	1.602251e+001
7.949919697966371e-002	1.605310e+001
7.949924667926739e-002	1.607103e+001
7.949927012672856e-002	1.607945e+001
7.949927748430764e-002	1.608212e+001
7.949927880905705e-002	1.608259e+001
7.949927909064153e-002	1.608269e+001
7.949927929584968e-002	1.608277e+001
7.949928187032171e-002	1.608370e+001
7.949928444479375e-002	1.608464e+001
7.949928701926577e-002	1.608557e+001
7.949928959373780e-002	1.608650e+001
7.949929216820982e-002	1.608743e+001
7.949929474268186e-002	1.608835e+001
7.949929731715388e-002	1.608928e+001
7.950019220482968e-002	1.641797e+001
7.950108709250547e-002	1.671220e+001
7.950198198018127e-002	1.694764e+001
7.950287686785708e-002	1.709740e+001
7.950377175553287e-002	1.713201e+001
7.950466664320867e-002	1.701948e+001
7.950556153088446e-002	1.672522e+001
7.950986881653102e-002	1.249477e+001
7.951220421279963e-002	7.951381e+000
7.951339135075888e-002	5.113639e+000
7.951434051516680e-002	2.777758e+000
7.951481790516712e-002	1.675255e+000
7.951523263209254e-002	8.318172e-001
7.951545455899507e-002	4.513040e-001
7.951561944504498e-002	2.249569e-001
7.951572724137412e-002	1.099283e-001
7.951580250812533e-002	5.046517e-002
7.951585489379616e-002	2.114099e-002
7.951588922061949e-002	8.260273e-003
7.951591201452271e-002	3.013178e-003
7.951593135553202e-002	7.195645e-004
7.951594598154139e-002	8.764038e-005
7.951595037882814e-002	6.964773e-005
7.951595450508900e-002	8.187441e-005
7.951595986196139e-002	7.218334e-005
7.951596465381679e-002	6.934463e-005
7.951597905551036e-002	7.422278e-005
7.951601540135109e-002	7.608209e-005
7.951605174719181e-002	7.797258e-005
7.951608809303254e-002	7.989436e-005
7.951612443887325e-002	8.184755e-005
7.951616078471398e-002	8.383228e-005
7.951619713055470e-002	8.584865e-005
7.951623347639543e-002	8.789680e-005
7.951733442905250e-002	1.411169e-004
7.951843538170957e-002	1.836046e-004
7.951953633436663e-002	2.169087e-004
7.952063728702369e-002	2.424796e-004
7.952173823968076e-002	2.616693e-004
7.952283919233782e-002	2.757310e-004
7.952394014499489e-002	2.858197e-004
